"","ID","kingdom","phylum","class","nameUk","BernAppendix2","BernAppendix3","Bonn","AEWA","IUCN","BernResolution6","ЧКУ","BernAppendix1","CITES","EUROBATS","ACCOBAMS","BirdsDirective","HabitatsDirective","Invasive","ЧС_Полтавська","ЧС_Чернівецька","ЧС_Житомирська","ЧС_Вінницька","ЧС_Харківська","ЧС_Чернігівська","ЧС_Черкаська","ЧС_Івано_Франківська","ЧС_Рівненська","ЧС_Одеська","ЧС_Сумська","ЧС_Закарпатська","ЧС_Львівська","ЧС_Миколаївська","ЧС_Донецька","ЧС_Херсонська","ЧС_Севастополь","ЧС_Тернопільська","ЧС_Київ","ЧС_Волинська","ЧС_Хмельницька","ЧС_Запорізька","ЧС_Кіровоградська","ЧС_Луганська","ЧС_Київська","ЧС_Дніпропетровська"
"1037",1037,"Animalia","Arthropoda","Insecta","Коконопряд сірий виїмчастий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","yes","","","","","","yes"
"1038",1038,"Animalia","Arthropoda","Insecta","Тонкопряд папоротевий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1039",1039,"Animalia","Arthropoda","Insecta","Совка зеленувата","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1040",1040,"Animalia","Arthropoda","Insecta","Синявець могильний","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1041",1041,"Animalia","Arthropoda","Insecta","Синявець Аргирогномон","","","","",NA,"","","","","","",NA,NA,"","","yes","","","","","","","","","","","","yes","","","","","","","","","","","",""
"1042",1042,"Animalia","Arthropoda","Insecta","Синявець Евмедон","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","yes","","","","","","","","","","","","","","",""
"1043",1043,"Animalia","Arthropoda","Insecta","Синявець піренейський","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1044",1044,"Animalia","Arthropoda","Insecta","Коконопряд тополевий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1045",1045,"Animalia","Arthropoda","Insecta","Синявець приязний","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","yes","","","","","","","","","","","","","","",""
"1046",1046,"Animalia","Arthropoda","Insecta","Синявець конюшиновий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1047",1047,"Animalia","Arthropoda","Insecta","Синявець Коридон","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","yes","","","","","","","","","","","","","","",""
"1048",1048,"Animalia","Arthropoda","Insecta","Синявець балканський","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1049",1049,"Animalia","Arthropoda","Insecta","Синявець темно-синій","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1050",1050,"Animalia","Arthropoda","Insecta","Синявець Терсит","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","yes","","","","","","","","","","","","","","",""
"1051",1051,"Animalia","Arthropoda","Insecta","Синявець Шифермюллера","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1052",1052,"Animalia","Arthropoda","Insecta","П’ядун зеленуватий терновий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1053",1053,"Animalia","Arthropoda","Insecta","Чубатка пишновуса","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1054",1054,"Animalia","Arthropoda","Insecta","Вогнівка чорна білосмуга","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1055",1055,"Animalia","Arthropoda","Insecta","Вогнівка кривава","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1056",1056,"Animalia","Arthropoda","Insecta","Скляниця червонокрила","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1057",1057,"Animalia","Arthropoda","Insecta","Ведмедиця пурпурова","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","yes","","","","","","","","yes","","","","","","","yes"
"1058",1058,"Animalia","Arthropoda","Insecta","Совка чортополохова","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"1059",1059,"Animalia","Arthropoda","Insecta","Вогнівка велика біла","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1060",1060,"Animalia","Arthropoda","Insecta","Седіна Бютнера","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1061",1061,"Animalia","Arthropoda","Insecta","Бражник очкастий","","","","",NA,"","","","","","",NA,NA,"","yes","","","","","","","","","","","","","","yes","","","","","","","","","","",""
"1062",1062,"Animalia","Arthropoda","Insecta","Чубатка срібляста","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1063",1063,"Animalia","Arthropoda","Insecta","Ведмедиця жовта","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1064",1064,"Animalia","Arthropoda","Insecta","Вогнівка бомбицинa","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1065",1065,"Animalia","Arthropoda","Insecta","Вогнівка молдавська","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1066",1066,"Animalia","Arthropoda","Insecta","Лишайниця пізня","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1067",1067,"Animalia","Arthropoda","Insecta","Скляниця молеподібна","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1068",1068,"Animalia","Arthropoda","Insecta","Титанія звичайна","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1069",1069,"Animalia","Arthropoda","Insecta","Ведмедиця кривава","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1070",1070,"Animalia","Arthropoda","Insecta","Улохлена волохата","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1071",1071,"Animalia","Arthropoda","Insecta","Совка довгокрила","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1072",1072,"Animalia","Arthropoda","Insecta","Красик астрагаловий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","yes","","","","","","","","","","","","","","","yes"
"1073",1073,"Animalia","Arthropoda","Insecta","Красик смовдевий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1074",1074,"Animalia","Arthropoda","Insecta","Красик жимолостевий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1075",1075,"Animalia","Arthropoda","Insecta","Красик пурпуровий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1076",1076,"Animalia","Arthropoda","Insecta","Амегіла оперезана","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1077",1077,"Animalia","Arthropoda","Insecta","Пильщик-аневгменус гайовий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","yes","","","","","","",""
"1078",1078,"Animalia","Arthropoda","Insecta","Бджола-шерстоткач","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1079",1079,"Animalia","Arthropoda","Insecta","Апантелес міцний","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","yes","","","","","","",""
"1080",1080,"Animalia","Arthropoda","Insecta","Павуколов чорний","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1081",1081,"Animalia","Arthropoda","Insecta","Оса-батозонел жовтокрила","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1082",1082,"Animalia","Arthropoda","Insecta","Бембекс носатий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","yes","","","","","","","","","","","","yes","","",""
"1083",1083,"Animalia","Arthropoda","Insecta","Меліта заяча","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1084",1084,"Animalia","Arthropoda","Insecta","Меліта Ванковича","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1085",1085,"Animalia","Arthropoda","Insecta","Мікрогастер стрункий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","yes","","","","","","",""
"1086",1086,"Animalia","Arthropoda","Insecta","Бджола-номія різнонога","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1087",1087,"Animalia","Arthropoda","Insecta","Пильщик вільховий плоский","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","yes","","","","","","",""
"1088",1088,"Animalia","Arthropoda","Insecta","Мурашка-понера","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1089",1089,"Animalia","Arthropoda","Insecta","Їздець незвичний","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","yes","","","","","","",""
"1090",1090,"Animalia","Arthropoda","Insecta","Сколія Шренка","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1091",1091,"Animalia","Arthropoda","Insecta","Стільб синюватий","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","yes","","","","","","","","","","",""
"1092",1092,"Animalia","Arthropoda","Insecta","Ковалик сплощений","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1093",1093,"Animalia","Arthropoda","Insecta","Чекініола пластисцелідина","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1094",1094,"Animalia","Arthropoda","Insecta","Хризоліна карпатська","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1095",1095,"Animalia","Arthropoda","Insecta","Ореїна плагіата","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1096",1096,"Animalia","Arthropoda","Insecta","Ореїна зелена","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1097",1097,"Animalia","Arthropoda","Insecta","Борос Шнайдера","","","","",NA,"yes","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1098",1098,"Animalia","Arthropoda","Insecta","Педилюс червоногорлий","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1099",1099,"Animalia","Arthropoda","Insecta","Брахіцерус зморшкуватий","","","","",NA,"","недостатньо відомий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","",""
"1100",1100,"Animalia","Arthropoda","Insecta","Левкомігус білосніжний","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","",""
"1101",1101,"Animalia","Arthropoda","Insecta","Ліксус катрановий","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1102",1102,"Animalia","Arthropoda","Insecta","Жиряк гладенький","","","","",NA,"","неоцінений","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1103",1103,"Animalia","Arthropoda","Insecta","Аскалаф строкатий","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1104",1104,"Animalia","Arthropoda","Insecta","Велетенський мурашиний лев західний","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","",""
"1105",1105,"Animalia","Arthropoda","Insecta","Мантіспа штирійська","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1106",1106,"Animalia","Arthropoda","Insecta","Комарівка італійська","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"1107",1107,"Animalia","Arthropoda","Insecta","Льодовичник Вествуда","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1108",1108,"Animalia","Arthropoda","Insecta","Оксієтира жовтовуса","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1109",1109,"Animalia","Arthropoda","Insecta","Поліксена","yes","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1110",1110,"Animalia","Arthropoda","Insecta","Аполлон","yes","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1111",1111,"Animalia","Arthropoda","Insecta","Мнемозина","yes","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1112",1112,"Animalia","Arthropoda","Insecta","Аврора біла","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","",""
"1113",1113,"Animalia","Arthropoda","Insecta","Зегрис Евфема","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","",""
"1114",1114,"Animalia","Arthropoda","Insecta","Совка Шмідта","","","","",NA,"yes","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1115",1115,"Animalia","Arthropoda","Insecta","Совка смовдева","","","","",NA,"yes","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"1116",1116,"Animalia","Arthropoda","Insecta","Білюшок Морзе","","","","",NA,"yes","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117",1117,"Animalia","Arthropoda","Insecta","Ксиломоя стрікс","","","","",NA,"yes","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1118",1118,"Animalia","Arthropoda","Insecta","Жовтюх золотистий","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","yes","","","","","","","","","","","yes","","","","","","","","","","yes"
"1119",1119,"Animalia","Arthropoda","Insecta","Жовтюх шапранець","","","","",NA,"yes","зникаючий","","","","",NA,NA,"","","","yes","","yes","","","","","","yes","","yes","","yes","","","","","yes","","","","","","yes"
"1120",1120,"Animalia","Arthropoda","Insecta","Жовтюх торф’яний","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1121",1121,"Animalia","Arthropoda","Insecta","Жовтюх-помаранчик","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1122",1122,"Animalia","Arthropoda","Insecta","Жовтюх Ерато","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1123",1123,"Animalia","Arthropoda","Insecta","Люцина","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","",""
"1124",1124,"Animalia","Arthropoda","Insecta","Дукачик блакитнуватий","","","","",NA,"yes","вразливий","","","","",NA,NA,"","","","yes","","","","","","","","","","yes","","","","","","","yes","","","","","",""
"1125",1125,"Animalia","Arthropoda","Insecta","Томарес Ногеля","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1126",1126,"Animalia","Arthropoda","Insecta","Томарес Каллімах","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1127",1127,"Animalia","Arthropoda","Insecta","Синявець Бавій","","","","",NA,"yes","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1128",1128,"Animalia","Arthropoda","Insecta","Синявець Алькон","","","","",NA,"","зникаючий","","","","",NA,NA,"","","yes","yes","","","","","","","","","","yes","yes","yes","","","","","yes","","","","","",""
"1129",1129,"Animalia","Arthropoda","Insecta","Синявець Пілаон","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1130",1130,"Animalia","Arthropoda","Insecta","Синявець Дарданус","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1131",1131,"Animalia","Arthropoda","Insecta","Синявець Дамон","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","","","","","","",""
"1132",1132,"Animalia","Arthropoda","Insecta","Синявець Дамоне","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1133",1133,"Animalia","Arthropoda","Insecta","Синявець туркусовий","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","","","","","","",""
"1134",1134,"Animalia","Arthropoda","Insecta","Синявець Ерос","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1135",1135,"Animalia","Arthropoda","Insecta","Клімена","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"1136",1136,"Animalia","Arthropoda","Insecta","Прочанок Геро","yes","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1137",1137,"Animalia","Arthropoda","Insecta","Прочанок Едип","yes","","","",NA,"yes","зникаючий","","","","",NA,NA,"","","yes","yes","","","","","","","","","","","","","","","","","yes","","","","","",""
"1138",1138,"Animalia","Arthropoda","Insecta","Трифіза Фрина","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1139",1139,"Animalia","Arthropoda","Insecta","Гірняк Феґея","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1140",1140,"Animalia","Arthropoda","Insecta","Гірняк Манто","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1141",1141,"Animalia","Arthropoda","Insecta","Мереживниця руська","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","","","","","","yes","","","","","","","","","","",""
"1142",1142,"Animalia","Arthropoda","Insecta","Сатир залізний","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1143",1143,"Animalia","Arthropoda","Insecta","Сатир Бризеїда","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1144",1144,"Animalia","Arthropoda","Insecta","Сатир евксинський","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1145",1145,"Animalia","Arthropoda","Insecta","Райдужниця велика","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1146",1146,"Animalia","Arthropoda","Insecta","Стрічкарка тополева","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"1147",1147,"Animalia","Arthropoda","Insecta","Рябець Авринія","yes","","","",NA,"yes","вразливий","","","","",NA,NA,"","","","yes","","","","","","","","","","yes","","yes","","","","","yes","","","","","",""
"1148",1148,"Animalia","Arthropoda","Insecta","Рябець матурна","yes","","","",NA,"yes","вразливий","","","","",NA,NA,"","","","yes","","yes","","","","","","","","yes","","yes","","","","","yes","","","","","","yes"
"1149",1149,"Animalia","Arthropoda","Insecta","Синявець Телей","yes","","","",NA,"yes","","","","","",NA,NA,"","","","yes","","yes","","","","","","","","yes","yes","","","","","","yes","","","","","","yes"
"1150",1150,"Animalia","Arthropoda","Insecta","Синявець чорнуватий","yes","","","",NA,"yes","","","","","",NA,NA,"","","","yes","","","","","","","","","","yes","","","","","","","yes","","","","","",""
"1151",1151,"Animalia","Arthropoda","Insecta","Синявець Аріон","yes","","","",NA,"","","","","","",NA,NA,"","","yes","yes","","","","","","","","","","yes","yes","yes","","","","","yes","","","","","","yes"
"1152",1152,"Animalia","Arthropoda","Insecta","Червінець непарний","yes","","","",NA,"yes","","","","","",NA,NA,"","","","yes","","","","","","","","","","","yes","","","","","","","","","","","",""
"1153",1153,"Animalia","Arthropoda","Insecta","Перлівець північний","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","yes","","","","","","","","","","yes","","","","","","","yes","","","","","",""
"1154",1154,"Animalia","Arthropoda","Insecta","Перлівець Евномія","","","","",NA,"","вразливий","","","","",NA,NA,"","","","yes","","","","","","","","","","yes","","","","","","","yes","","","","","",""
"1155",1155,"Animalia","Arthropoda","Insecta","Бражник дубовий","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1156",1156,"Animalia","Arthropoda","Insecta","Бражник хорватський","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1157",1157,"Animalia","Arthropoda","Insecta","Бражник скабіозовий","","","","",NA,"","рідкісний","","","","",NA,NA,"","yes","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1158",1158,"Animalia","Arthropoda","Insecta","Бражник карликовий","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1159",1159,"Animalia","Arthropoda","Insecta","Бражник Прозерпіна","yes","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1160",1160,"Animalia","Arthropoda","Insecta","Бражник південний молочайний","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1161",1161,"Animalia","Arthropoda","Insecta","Сатурнія велика","","","","",NA,"","вразливий","","","","",NA,NA,"","yes","yes","","","","","","","","yes","","","yes","","","","","","","","","","","","","yes"
"1162",1162,"Animalia","Arthropoda","Insecta","Сатурнія мала","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1163",1163,"Animalia","Arthropoda","Insecta","Сатурнія середня","","","","",NA,"","зникаючий","","","","",NA,NA,"","yes","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1164",1164,"Animalia","Arthropoda","Insecta","Шовкопряд кульбабовий","","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","yes"
"1165",1165,"Animalia","Arthropoda","Insecta","Тинник ауреус","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1166",1166,"Animalia","Arthropoda","Insecta","Мурашиний лев бореальний","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1167",1167,"Animalia","Arthropoda","Insecta","Мурашка уральська","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1168",1168,"Animalia","Arthropoda","Insecta","Педострагалія пубесценс","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1169",1169,"Animalia","Arthropoda","Insecta","Плоскотілка гематодес","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1170",1170,"Animalia","Arthropoda","Insecta","Діктіоптера аврора","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1171",1171,"Animalia","Arthropoda","Insecta","Дукачик щавлевий","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1172",1172,"Animalia","Arthropoda","Insecta","Енеіс юта","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1173",1173,"Animalia","Arthropoda","Insecta","Зарея бронзовотіла","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1174",1174,"Animalia","Arthropoda","Insecta","Зарея міднотіла","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1175",1175,"Animalia","Arthropoda","Insecta","Ковалик густокрапчастий","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1176",1176,"Animalia","Arthropoda","Insecta","Афодій неморальний","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1177",1177,"Animalia","Arthropoda","Insecta","Бронзівка Фієбері","","","","",NA,"","","","","","",NA,NA,"","","","yes","","","","","","","","","","","","","","","","","","","","","","",""
"1178",1178,"Animalia","Arthropoda","Insecta","Шовкопряд белліона","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1179",1179,"Animalia","Arthropoda","Insecta","Коконопряд золотистий","yes","","","",NA,"yes","зникаючий","","","","",NA,NA,"","","","","","","","","","","","","","yes","","","","","","","","","","","","",""
"1180",1180,"Animalia","Arthropoda","Insecta","Стрічкарка велика червона","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1181",1181,"Animalia","Arthropoda","Insecta","Стрічкарка диз’юнктивна","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1182",1182,"Animalia","Arthropoda","Insecta","Стрічкарка червоно-жовта","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1183",1183,"Animalia","Arthropoda","Insecta","Стрічкарка блакитна","","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
"1184",1184,"Animalia","Arthropoda","Insecta","Стрічкарка жовта східна","","","","",NA,"","зникаючий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1185",1185,"Animalia","Arthropoda","Insecta","Стрічкарка рожева","","","","",NA,"","вразливий","","","","",NA,NA,"","","","yes","","yes","","","","","","","","","","","","","","","","","","","","","yes"
"1186",1186,"Animalia","Arthropoda","Insecta","Аритрура мишаста","","","","",NA,"yes","вразливий","","","","",NA,NA,"","","","yes","","yes","","","","","","","","","","","","","","","","","","","","",""
"1187",1187,"Animalia","Arthropoda","Insecta","Червиця трипс","","","","",NA,"yes","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1188",1188,"Animalia","Arthropoda","Insecta","Стрічкарка орденська малинова","","","","",NA,"","рідкісний","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","","yes"
