"","ID","kingdom","phylum","class","nameUk","BernAppendix2","BernAppendix3","Bonn","AEWA","IUCN","BernResolution6","ЧКУ","BernAppendix1","CITES","EUROBATS","ACCOBAMS","BirdsDirective","HabitatsDirective","Invasive","ЧС_Полтавська","ЧС_Чернівецька","ЧС_Житомирська","ЧС_Вінницька","ЧС_Харківська","ЧС_Чернігівська","ЧС_Черкаська","ЧС_Івано_Франківська","ЧС_Рівненська","ЧС_Одеська","ЧС_Сумська","ЧС_Закарпатська","ЧС_Львівська","ЧС_Миколаївська","ЧС_Донецька","ЧС_Херсонська","ЧС_Севастополь","ЧС_Тернопільська","ЧС_Київ","ЧС_Волинська","ЧС_Хмельницька","ЧС_Запорізька","ЧС_Кіровоградська","ЧС_Луганська","ЧС_Київська","ЧС_Дніпропетровська"
"32",32,"Animalia","Chordata","Amphibia","Жаба прудка","yes","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33",33,"Animalia","Chordata","Amphibia","Ропуха сіра","","yes","","",NA,"","","","","","",NA,NA,"","","","","","yes","","","","","yes","","","","yes","yes","","","","yes","","","","","","","yes"
"34",34,"Animalia","Chordata","Amphibia","Ропуха зелена","yes","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","yes","","yes","","","","","yes","","","","","","yes"
"35",35,"Animalia","Chordata","Amphibia","Ропуха очеретяна","yes","","","",NA,"","вразливий","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36",36,"Animalia","Chordata","Amphibia","Кумка червоночерева","yes","","","",NA,"yes","","","","","",NA,NA,"","","yes","yes","","","","","","","yes","","","","yes","yes","","","","yes","","","","yes","","",""
"37",37,"Animalia","Chordata","Amphibia","Кумка жовточерева","yes","","","",NA,"yes","вразливий","","","","",NA,NA,"","","yes","","","","","","","","","","","yes","","","","","","","","","","","","",""
"38",38,"Animalia","Chordata","Amphibia","Райка звичайна","yes","","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39",39,"Animalia","Chordata","Amphibia","Райка східна","","yes","","",NA,"","","","","","",NA,NA,"","","yes","yes","","yes","","","","","yes","yes","","","yes","yes","","","","yes","","","","","","","yes"
"40",40,"Animalia","Chordata","Amphibia","Часничниця звичайна","yes","","","",NA,"","","","","","",NA,NA,"","yes","yes","","","","","","","","yes","","","","yes","","","","","","","yes","","yes","","",""
"41",41,"Animalia","Chordata","Amphibia","Часничниця Палласа","","yes","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42",42,"Animalia","Chordata","Amphibia","Тритон гребінчастий","yes","","","",NA,"yes","вразливий","","","","",NA,NA,"","yes","yes","yes","","yes","","","","","","yes","","","yes","","","","","yes","","","","yes","","",""
"43",43,"Animalia","Chordata","Amphibia","Тритон дунайський","yes","","","",NA,"yes","вразливий","","","","",NA,NA,"","","","","","","","","","","yes","","","","","","","","","","","","","","","",""
