verbatimScientificName,kingdom,phylum,class,nameUk,BernAppendix2,BernAppendix3,Bonn,AEWA,BernResolution6,HabitatsDirectiveAnnex_V,HabitatsDirectiveAnnex_IV,HabitatsDirectiveAnnex_II,BirdsDirectiveAnnex_IІ,BirdsDirectiveAnnex_I,ЧКУ,IUCN,BernAppendix1,EUROBATS,ACCOBAMS,Invasive,ЧС_Полтавська,ЧС_Чернівецька,ЧС_Житомирська,ЧС_Вінницька,ЧС_Харківська,ЧС_Чернігівська,ЧС_Черкаська,ЧС_Івано_Франківська,ЧС_Рівненська,ЧС_Одеська,ЧС_Сумська,ЧС_Закарпатська,ЧС_Львівська,ЧС_Миколаївська,ЧС_Донецька,ЧС_Херсонська,ЧС_Севастополь,ЧС_Тернопільська,ЧС_Київ,ЧС_Волинська,ЧС_Хмельницька,ЧС_Запорізька,ЧС_Кіровоградська,ЧС_Луганська,ЧС_Київська,ЧС_Дніпропетровська
"Pelophylax lessonae (Camerano, 1882)",Animalia,Chordata,Amphibia,Жаба ставкова,,yes,,,,,yes,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes
"Pelophylax esculentus (Linnaeus, 1758)",Animalia,Chordata,Amphibia,Жаба їстівна,,yes,,,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes
"Rana temporaria Linnaeus, 1758",Animalia,Chordata,Amphibia,Жаба трав'яна,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,,,,,,,,,yes
"Rana arvalis Nilsson, 1842",Animalia,Chordata,Amphibia,Жаба гостроморда,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,,,yes,,yes,yes,,,yes,,yes,,,,,yes
"Rana dalmatina Fitzinger, 1838",Animalia,Chordata,Amphibia,Жаба прудка,yes,,,,,,yes,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bufo bufo (Linnaeus, 1758)",Animalia,Chordata,Amphibia,Ропуха сіра,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,yes,yes,,,,yes,,,,,,,yes
"Bufotes viridis (Laurenti, 1768)",Animalia,Chordata,Amphibia,Ропуха зелена,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,yes,,,,,yes,,,,,,yes
"Epidalea calamita (Laurenti, 1768)",Animalia,Chordata,Amphibia,Ропуха очеретяна,yes,,,,,,yes,,,,вразливий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bombina bombina (Linnaeus, 1761)",Animalia,Chordata,Amphibia,Кумка червоночерева,yes,,,,yes,,yes,yes,,,,,,,,,,yes,yes,,,,,,,yes,,,,yes,yes,,,,yes,,,,yes,,,
"Bombina variegata (Linnaeus, 1758)",Animalia,Chordata,Amphibia,Кумка жовточерева,yes,,,,yes,,yes,yes,,,вразливий,,,,,,,yes,,,,,,,,,,,yes,,,,,,,,,,,,,
